,English,Sphanish
601,thoughts,pensamientos
602,stories,cuentos
603,professional,profesional
604,stars,estrellas
605,reality,realidad
606,Lexie,Lexie
607,grandfather,abuelo
608,sold,vendido
609,changes,cambios
610,cheese,queso
611,Kenny,Kenny
612,Bobby,Poli
613,bird,pájaro
614,marrying,casarse
615,grandmother,abuela
616,opening,apertura
617,Sally,Salida
618,must've,debe haber
619,television,televisión
620,h,h
621,master,Maestro
622,numbers,números
623,Toby,Toby
624,deserves,merece
625,Blake,Blake
626,teacher,profesor
627,threat,amenaza
628,Frankie,Frankie
629,Kelly,Kelly
630,shame,vergüenza
631,Brittany,Bretaña
632,local,local
633,jacket,chaqueta
634,destroyed,destruido
635,loser,perdedor
636,lesson,lección
637,Roy,Roy
638,victim,víctima
639,funeral,funeral
640,strength,fuerza
641,loss,pérdida
642,view,vista
643,Gia,Gia
644,several,varios
645,somebody's,de alguien
646,chocolate,chocolate
647,holden,Holden
648,Corinthos,Corinthos
649,energy,energía
650,brings,trae
651,chances,posibilidades
652,healthy,saludable
653,percent,por ciento
654,Brandon,Brandon
655,lines,líneas
656,purpose,propósito
657,north,norte
658,rights,derechos
659,hire,contratar
660,pardon,perdón
661,Helena,Helena
662,warn,advertir
