English,Sphanish
quiet,tranquilo
concerned,preocupado
road,la carretera
Eve,víspera
staying,estancia
short,pequeño
m,metro
beat,derrotar
sweetie,cariño
mention,mencionar
clothes,ropa
finished,terminado
fell,cayó
neither,ninguno de los dos
mmm,mmm
fix,arreglar
Victor,Víctor
respect,respeto
spent,gastado
prison,prisión
attention,atención
holding,tenencia
calls,llamadas
near,cerca
surprised,sorprendido
bar,bar
beth,beth
pass,pasar
keeping,acuerdo
gift,regalo
hadn't,no tenía
putting,poniendo
dark,oscuro
self,uno mismo
owe,deber
using,utilizando
Nora,Nora
ice,hielo
helping,Ayudar
bitch,perra
normal,normal
aunt,tía
lawyer,abogado
apart,aparte
certain,cierto
plans,planes
Jax,Jax
girlfriend,Novia
floor,piso
whether,ya sea
everything's,todo está
present,regalo
earth,tierra
private,privado
Jessica,Jessica
box,caja
Dawson,Dawson
cover,cubrir
judge,juez
upstairs,piso de arriba
Alexis,Alexis
Shawn,Shawn
sake,motivo
mommy,mamá
possibly,posiblemente
worst,peor
station,estación
acting,interino
accept,aceptar
blow,soplo
strange,extraño
saved,salvado
Ivy,Hiedra
conversation,conversacion
plane,avión
mama,mamá
yesterday,el dia de ayer
lied,mintió
quick,rápido
lately,últimamente
stuck,atascado
lovely,encantador
security,seguridad
report,reporte
Barbara,Bárbara
difference,diferencia
rid,deshacerse
tv,televisor
Adam,Adán
store,Tienda
she'd,cobertizo
bag,bolsa
Mike,Miguel
bought,compró
ball,pelota
single,único
Kevin,Kevin
doubt,duda
listening,escuchando
major,importante
walking,para caminar
cops,policías
blue,azul
deep,profundo
dangerous,peligroso
buffy,leucocitaria
park,parque
sleeping,dormido
Chloe,Chloe
Rafe,Rafe
shh,shh
record,registro
lord,señor
Erica,Erica
moved,movido
join,unirse
key,clave
captain,capitán
card,tarjeta
crime,crimen
gentlemen,caballeros
willing,dispuesto
window,ventana
return,regresar
walked,caminó
guilty,culpable
Brenda,Brenda
likes,gustos
fighting,lucha
difficult,difícil
soul,alma
joke,broma
service,Servicio
magic,magia
favorite,favorito
uncle,tío
promised,prometido
public,público
bother,molestar
island,isla
Jim,Jim
seriously,seriamente
cell,celda
lead,dirigir
knowing,conocimiento
broken,roto
advice,Consejo
somehow,de alguna manera
paid,pagado
Blair,Blair
losing,perdiendo
push,empujar
helped,ayudado
killing,asesinato
usually,generalmente
earlier,más temprano
boss,jefe
Laura,Laura
beginning,comenzando
liked,gustó
innocent,inocente
doc,Doc
rules,reglas
Elizabeth,Elizabeth
Sabrina,Sabrina
summer,el verano
ex,ex
cop,policía
learned,aprendió
thirty,treinta
risk,riesgo
letting,arrendamiento
Phillip,Phillip
speaking,discurso
officer,oficial
ridiculous,ridículo
support,apoyo
afternoon,tarde
Eric,Eric
born,Nació
dreams,Sueños
apologize,pedir disculpas
seat,asiento
nervous,nervioso
across,al otro lado de
song,canción
Olivia,Olivia
charge,cargar
patient,paciente
Cassie,Cassie
boat,bote
how'd,¿cómo
brain,cerebro
hide,esconder
detective,detective
Aaron,Aaron
Kendall,Kendall
general,general
Tom,Tomás
planning,planificación
nine,nueve
huge,enorme
breakfast,desayuno
horrible,horrible
age,edad
awful,horrible
pleasure,Placer
driving,conduciendo
hanging,colgante
picked,escogido
system,sistema
sell,vender
quit,renunciar
apparently,aparentemente
dying,moribundo
notice,aviso
Josh,Josh
congratulations,Felicidades
chief,jefe
faith,fe
Simon,Simón
gay,homosexual
ho,Ho
one's,unos
month,mes
visit,visitar
Hal,Hal
could've,podría haber
c'mon,vamos
aw,aw
Edmund,Edmund
Brady,Brady
letter,carta
decide,decidir
American,americano
double,doble
Troy,Troy
sad,triste
press,Prensa
forward,adelante
fool,tonto
showed,presentado
smell,oler
seemed,pareció
Mary,María
spell,deletrear
Courtney,Courtney
memory,memoria
mark,marca
Alan,Alan
pictures,fotos
Paris,París
slow,lento
Joe,José
Tim,Tim
seconds,segundos
hungry,hambriento
board,tablero
position,posición
hearing,audiencia
roz,Roz
kitchen,cocina
ma'am,señora
Bob,Beto
force,fuerza
fly,volar
during,durante
space,espacio
should've,debería haber
realized,dio cuenta
experience,experiencia
kick,patear
others,otros
grab,tomar
mother's,la madre de
p,pag
Sharon,Sharon
discuss,discutir
third,tercera
cat,gato
fifty,cincuenta
responsible,responsable
Jennifer,jennifer
Philip,Philip
miles,millas
fat,gordo
reading,leyendo
idiot,idiota
yep,sí
rock,rock
rich,Rico
suddenly,repentinamente
agent,agente
bunch,racimo
destroy,destruir
bucks,dólares
track,pista
shoes,Zapatos
scene,escena
peace,paz
arms,brazos
demon,demonio
Diane,Diane
Bridget,Bridget
Brad,Puntilla
low,bajo
Livvie,Livvie
consider,considerar
papers,documentos
medical,médico
incredible,increíble
witch,bruja
er,er
drunk,borracho
attorney,abogado
Charlie,Charlie
tells,dice
knock,golpear
Karen,Karen
ways,formas
eh,eh
belle,beldad
cash,dinero en efectivo
gives,da
department,Departamento
nose,nariz
Skye,Skye
turns,vueltas
keeps,mantiene
beer,cerveza
jealous,celoso
drug,droga
Molly,muchacha
sooner,cuanto antes
cares,cuidados
plenty,mucho
extra,extra
tea,té
won,ganado
attack,ataque
ground,suelo
whose,cuyo
outta,Sal de
Kyle,Kyle
l,l
weekend,fin de semana
matters,asuntos
wrote,escribió
type,escribe
father's,El padre de
Alex,Alex
gosh,Dios mio
opportunity,oportunidad
king,Rey
impossible,imposible
books,libros
machine,máquina
waste,desperdicio
th,º
pretend,pretender
named,llamado
danger,peligro
wall,pared
Liz,Liz
Ian,Ian
Henry,Enrique
jump,salto
eating,comiendo
proof,prueba
complete,completo
slept,dormido
career,carrera profesional
arrest,arrestar
star,estrella
Phyllis,Phyllis
mac,Mac
breathe,respirar
perfectly,perfectamente
warm,cálido
pulled,tirado
Maria,maria
twice,dos veces
easier,más fácil
killer,asesino
goin,entra
dating,Fechado
suit,traje
romantic,romántico
drugs,drogas
comfortable,cómodo
Isaac,Isaac
powers,potestades
finds,hallazgos
checked,comprobado
fit,encajar
divorce,divorcio
begin,comenzar
ourselves,Nosotros mismos
closer,más cerca
ruin,ruina
although,a pesar de que
smile,sonrisa
laugh,reír
fish,pez
Abigail,Abigail
treat,tratar
God's,Dioses
fear,temor
Anna,Anna
what'd,żQué
Simone,Simone
amber,ámbar
guy's,tipo
otherwise,de lo contrario
excited,emocionado
mail,correo
hiding,ocultación
cost,costo
green,verde
stole,estola
pacey,Pacey
noticed,notada
liza,liza
fired,despedido
Daphne,Dafne
Whitney,Whitney
excellent,excelente
lived,vivido
bringing,trayendo
pop,música pop
piper,gaitero
bottom,fondo
note,Nota
sudden,repentino
church,Iglesia
bathroom,baño
flight,vuelo
Chad,Chad
la,la
honestly,honestamente
sing,canta
Katie,Katie
foot,pie
games,juegos
glass,vidrio
n,norte
Mitch,Mitch
remind,recordar
bank,Banco
Rory,Rory
charges,cargos
witness,testigo
finding,hallazgo
places,lugares
tree,árbol
dare,atrevimiento
hardly,difícilmente
that'll,eSO
u,u
interest,interesar
steal,robar
princess,princesa
silly,tonto
contact,contacto
teach,enseñar
shop,tienda
plus,más
colonel,coronel
fresh,nuevo
trial,juicio
invited,invitado
roll,rodar
radio,radio
art,Arte
reach,alcanzar
heh,je
dirty,sucio
choose,escoger
emergency,emergencia
dropped,caído
butt,extremo
credit,crédito
obvious,obvio
cry,llorar
locked,bloqueada
Larry,Larry
loving,cariñoso
positive,positivo
nuts,nueces
agreed,acordado
prue,prue
price,precio
goodbye,adiós
condition,condición
guard,Guardia
fucking,maldito
grow,crecer
cake,pastel
mood,estado animico
dad's,El padre de
Bianca,Bianca
total,total
crap,tonterías
crying,llanto
Paige,Paige
k,k
belong,pertenecer
lay,poner
partner,pareja
trick,truco
pressure,presión
ohh,Oh
arm,brazo
dressed,vestido
cup,taza
lies,mentiras
bus,autobús
taste,gusto
neck,cuello
south,Sur
something's,algunas cosas
nurse,enfermero
raise,aumentar
land,tierra
cross,cruzar
lots,lotes
mister,señor
carry,llevar
group,grupo
whoever,quien
Eddie,Eddie
drinking,Bebiendo
they'd,Habían
breaking,rotura
file,expediente
lock,cerrar con llave
computer,computadora
yo,yo
Rebecca,Rebecca
wine,vino
closed,cerrado
writing,escribiendo
spot,lugar
paying,pago
study,estudiar
assume,asumir
asleep,dormido
man's,del hombre
turning,torneado
legal,legal
justice,justicia
Viki,Viki
Chandler,Velero
bedroom,habitación
shower,ducha
Nikolas,Nikolas
camera,cámara
fill,llenar
reasons,razones
forty,cuarenta
bigger,más grande
nope,no
keys,teclas
Starr,Starr
breath,respiración
doctors,médicos
pants,pantalones
freak,fenómeno
level,nivel
French,francés
movies,películas
gee,Caramba
Monica,Mónica
action,acción
area,zona
folks,muchachos
Steve,Steve
cream,crema
ugh,puaj
continue,Seguir
focus,atención
wild,salvaje
truly,realmente
Jill,Jill
desk,escritorio
convince,convencer
client,cliente
threw,tiró
Taylor,Taylor
band,banda
hurts,duele
Charles,Charles
spending,gasto
Neil,Neil
field,campo
allow,permitir
grand,grandioso
answers,respuestas
shirt,camisa
chair,silla
Christ,Cristo
allowed,permitido
rough,áspero
doin,doin
sees,ve
government,Gobierno
Harry,Harry
ought,debería
empty,vacío
round,redondo
lights,luces
insane,loco
hall,sala
hat,sombrero
bastard,Bastardo
wind,viento
shows,espectáculos
aware,consciente
dealing,relación comercial
pack,paquete
meaning,sentido
flowers,flores
tight,ajustado
hurting,daño
ship,Embarcacion
subject,sujeto
guest,huésped
mom's,la mamá de
chicken,pollo
pal,camarada
match,partido
Elaine,Elaine
arrested,detenido
sun,sol
Rachel,Rachel
Salem,Salem
confused,confundido
surgery,cirugía
expecting,esperando
deacon,diácono
Colleen,Muchacha
unfortunately,Desafortunadamente
goddamn,maldito
lab,laboratorio
passed,aprobado
bottle,botella
beyond,más allá de
whenever,cuando sea
pool,piscina
opinion,opinión
naked,desnudo
held,retenida
common,común
starts,empieza
jerk,imbécil
secrets,misterios
falling,descendente
played,jugó
necessary,necesario
barely,apenas
dancing,baile
health,salud
tests,pruebas
copy,Copiar
Keri,Keri
video,video
cousin,prima
planned,planificado
Vanessa,Vanessa
dry,seco
ahem,Ejem
twelve,doce
simply,simplemente
Tess,Tess
Scott,scott
skin,piel
often,a menudo
English,inglés
fifteen,quince
spirit,espíritu
speech,habla
names,nombres
issue,asunto
orders,pedidos
nah,nah
final,final
Michelle,Michelle
America,America
st,S t
results,resultados
code,código
Ned,Ned
Bonnie,Bonnie
w,w
believed,creído
complicated,Complicado
umm,umm
research,investigar
nowhere,en ningún lugar
escape,escapar
biggest,más grande
restaurant,restaurante
page,página
grateful,agradecido
usual,usual
burn,quemar
Chicago,Chicago
Austin,Austin
address,Dirección
within,dentro de
someplace,en algún lugar
screw,tornillo
everywhere,En todas partes
train,tren
film,película
regret,arrepentirse
goodness,bondad
mistakes,errores
heaven,cielo
details,detalles
responsibility,responsabilidad
suspect,sospechar
corner,esquina
hero,héroe
dumb,tonto
terrific,fantástico
Peter,Peter
mission,misión
further,más lejos
Amy,Amy
gas,gas
whoo,whoo
hole,agujero
memories,recuerdos
o'clock,en punto
Brian,Brian
truck,camión
following,siguiente
ended,terminado
nobody's,de nadie
margo,margo
teeth,diente
ruined,arruinado
Hank,Madeja
split,separar
reva,Reva
bear,soportar
airport,aeropuerto
bite,morder
smoke,fumar
Stenbeck,Stenbeck
older,más viejo
liar,mentiroso
horse,caballo
gwen,Gwen
showing,demostración
van,camioneta
project,proyecto
cards,tarjetas
desperate,desesperado
themselves,ellos mismos
search,búsqueda
pathetic,patético
damage,daño
spoke,habló
quickly,rápidamente
scare,susto
marah,marah
g,gramo
beach,playa
mia,desaparecido en combate
brown,marrón
afford,poder pagar
vote,votar
settle,asentar
gold,oro
re,re
mentioned,mencionado
ed,ed
due,vencer
passion,pasión
y,y
stayed,permaneció
rule,regla
Friday,viernes
checking,comprobación
tie,Corbata
hired,Contratado
upon,sobre
rush,prisa
tad,tad
heads,cabezas
concern,preocupación
blew,sopló
natural,natural
alcazar,alcázar
Kramer,Kramer
champagne,champán
connection,conexión
tickets,Entradas
Kate,Kate
finger,dedo
happiness,felicidad
form,formulario
saving,ahorro
kissing,besos
Martin,Martín
hated,odiado
personally,personalmente
suggest,sugerir
prepared,preparado
build,construir
leg,pierna
onto,sobre
leaves,sale de
downstairs,abajo
ticket,billete
it'd,Sería
taught,enseñó
loose,suelto
holy,santo
staff,personal
sea,mar
asa,como un
planet,planeta
duty,deber
convinced,convencido
throwing,lanzamiento
defense,defensa
Harvey,Harvey
kissed,besadas
legs,piernas
Dave,David
according,según
loud,fuerte
practice,práctica
Andy,Andy
Jess,Cadena
Saturday,sábado
colin,colin
bright,brillante
Amanda,Amanda
Fraser,Fraser
f,F
babies,bebés
army,Ejército
where'd,donde D
warning,advertencia
miracle,milagro
carrying,que lleva
flying,volador
Caleb,Caleb
blind,ciego
queen,reina
ugly,feo
shopping,compras
hates,odios
someone's,de alguien
Seth,Seth
monster,monstruo
sight,vista
vampire,vampiro
Rosanna,Rosanna
bride,novia
coat,Saco
account,cuenta
states,estados
clearly,claramente
celebrate,celebrar
Nicole,Nicole
brilliant,brillante
wanting,falto
Allison,Allison
add,agregar
moon,Luna
Forrester,Forrester
lips,labios
custody,custodia
center,centrar
screwed,atornillado
buying,comprar
size,Talla
toast,brindis
thoughts,pensamientos
Isabella,Isabela
student,estudiante
stories,cuentos
however,sin embargo
professional,profesional
stars,estrellas
reality,realidad
Jimmy,Palanqueta
birth,nacimiento
Lexie,Lexie
attitude,actitud
advantage,ventaja
grandfather,abuelo
Sami,Sami
sold,vendido
opened,abrió
Lily,Lirio
grandma,abuela
beg,mendigar
Edward,Eduardo
changes,cambios
diego,Diego
cole,col
someday,algún día
grade,calificación
cheese,queso
roof,techo
Kenny,Kenny
Bobby,Poli
pizza,Pizza
brothers,hermanos
x,X
signed,firmado
bird,pájaro
ahh,Ah
marrying,casarse
powerful,poderoso
grown,crecido
grandmother,abuela
fake,falso
opening,apertura
Sally,Salida
Stephanie,Stephanie
expected,esperado
eventually,finalmente
must've,debe haber
ideas,Ideas
exciting,excitante
covered,cubierto
Parker,Parker
de,Delaware
familiar,familiar
bomb,bomba
bout,combate
television,televisión
harmony,armonía
color,color
heavy,pesado
schedule,calendario
records,registros
h,h
dollar,dólar
capable,capaz
master,Maestro
numbers,números
Toby,Toby
practically,prácticamente
including,incluso
correct,correcto
clue,pista
forgotten,olvidado
immediately,inmediatamente
appointment,cita
social,social
nature,naturaleza
ú,ú
deserves,merece
west,Oeste
Blake,Blake
teacher,profesor
threat,amenaza
Frankie,Frankie
bloody,sangriento
lonely,solitario
Kelly,Kelly
ordered,ordenado
shame,vergüenza
Brittany,Bretaña
local,local
jacket,chaqueta
hook,gancho
destroyed,destruido
scary,de miedo
loser,perdedor
investigation,investigación
above,encima
Jamal,Jamal
invite,invitación
shooting,tiroteo
merry,alegre
port,Puerto
precious,precioso
lesson,lección
Roy,Roy
criminal,delincuente
growing,creciente
caused,causado
victim,víctima
professor,profesor
followed,seguido
funeral,funeral
nothing's,No hay nada
dean,decano
considering,considerando
burning,incendio
couch,sofá
strength,fuerza
harder,más difícil
loss,pérdida
view,vista
Gia,Gia
beauty,belleza
